Feature name	Note	Merck Strain ID	GRACE Plate	GRACE Position	No_DOX_score	DOX_score	Essential_verdict
C7_03700C_A		731.0	Plate 01	A01	0.0	0.0	NE
C6_00640C_A		605.0	Plate 01	A02	0.0	4.0	E
C1_11380W_A		513.0	Plate 01	A03	0.0	0.75	GD
C4_06500W_A		160.0	Plate 01	A04	0.0	3.0	E
C1_11000C_A		92.0	Plate 01	A05	0.0	2.5	GD
C3_02840W_A		133.0	Plate 01	A06	0.0	4.0	E
C6_00370C_A		584.0	Plate 01	A07	0.0	4.0	E
CR_01110W_A		630.0	Plate 01	A08	0.0	2.25	GD
C6_04030W_A		651.0	Plate 01	A09	0.0	0.0	NE
C1_06930W_A		227.0	Plate 01	A10	0.0	4.0	E
C7_00780W_A		765.0	Plate 01	A11	0.0	4.0	E
C3_06820C_A		772.0	Plate 01	A12	0.0	4.0	E
C6_02610C_A		773.0	Plate 01	B01	0.0	0.0	NE
C2_01220W_A		780.0	Plate 01	B02	0.0	3.5	E
C4_02830C_A		787.0	Plate 01	B03	0.0	4.0	E
CR_08940W_A		790.0	Plate 01	B04	0.0	0.0	NE
C1_00800C_A		850.0	Plate 01	B05	0.0	0.0	NE
C1_04770C_A		851.0	Plate 01	B06	0.0	0.0	NE
C1_03780C_A		856.0	Plate 01	B07	0.0	4.0	E
C1_07050C_A		857.0	Plate 01	B08	0.0	0.0	NE
C3_04470W_A		767.0	Plate 01	B09	0.0	3.25	E
C3_07710W_A		278.0	Plate 01	B10	0.25	1.0	GD
C1_03080C_A		528.0	Plate 01	B11	0.0	0.5	GD
CR_07210W_A		620.0	Plate 01	B12	0.0	0.0	NE
C3_02830W_A		659.0	Plate 01	C01	0.0	0.0	NE
C2_10770W_A		353.0	Plate 01	C02	0.0	1.0	GD
C1_04830W_A		556.0	Plate 01	C03	0.0	4.0	E
C4_05230C_A		164.0	Plate 01	C04	0.0	2.0	GD
CR_07080W_A		331.0	Plate 01	C05	0.0	4.0	E
C1_13760W_A		337.0	Plate 01	C06	0.0	0.0	NE
C1_02480W_A		395.0	Plate 01	C07	0.0	0.5	GD
C1_14240W_A		397.0	Plate 01	C08	0.0	4.0	E
C3_04560W_A		406.0	Plate 01	C09	0.5	4.0	E
C1_07410C_A		409.0	Plate 01	C10	0.0	0.5	GD
C7_00050C_A		412.0	Plate 01	C11	0.0	4.0	E
C2_09670C_A		454.0	Plate 01	C12	0.0	0.0	NE
C5_00920W_A		606.0	Plate 01	D01	0.0	4.0	E
C4_05210W_A		611.0	Plate 01	D02	0.0	0.0	NE
CR_02770C_A		613.0	Plate 01	D03	0.0	0.0	NE
C2_08780W_A		419.0	Plate 01	D04	0.0	4.0	E
C2_06640C_A		427.0	Plate 01	D05	0.0	0.0	NE
C4_05820W_A		645.0	Plate 01	D06	0.0	4.0	E
C4_01450W_A		625.0	Plate 01	D07	0.0	0.0	NE
C5_00070W_A		623.0	Plate 01	D08	1.25	2.5	E
C3_06100C_A		711.0	Plate 01	D09	0.0	1.5	GD
C1_10320W_A		696.0	Plate 01	D10	0.0	0.0	NE
