Feature name	Note	Registry ID	GRACEv2 Plate	GRACEv2 Position	No_DOX_score	DOX_score	Essential_verdict
C1_04210C_A		GELC0002	Plate 01	A07	0	4	E
C2_09840W_A		GELC0004	Plate 01	A08	0	1.25	GD
C2_01480W_A		GELC0005	Plate 01	A09	0	1.25	GD
CR_02550C_A		GELC0008	Plate 01	A10	0	4	E
C3_01530C_A		GELC0009	Plate 01	A11	0	0	NE
C1_01880C_A		GELC0012	Plate 01	A12	0	0	NE
C1_01940C_A		GELC0013	Plate 01	B01	0	0	NE
C1_02460W_A		GELC0014	Plate 01	B02	0	4	E
C1_02900C_A		GELC0015	Plate 01	B03	0.166666667	0	NE
C5_05280C_A		GELC0016	Plate 01	B04	0.333333333	0	NE
C2_04950C_A		GELC0018	Plate 01	B05	0.75	0.25	GD
C2_01620W_A		GELC0019	Plate 01	B06	0.166666667	0.166666667	GD
C1_09030C_A		GELC0020	Plate 01	B07	0	0	NE
C1_12590W_A		GELC0022	Plate 01	B08	0	0	NE
C1_07600W_A		GELC0024	Plate 01	B09	0	0	NE
CR_01740W_A		GELC0028	Plate 01	B10	0	0.166666667	GD
C2_08650W_A		GELC0029	Plate 01	B11	0	0	NE
C2_05760C_A		GELC0030	Plate 01	B12	0	0	NE
C2_07550W_A		GELC0031	Plate 01	C01	0	0	NE
C1_02650W_A		GELC0032	Plate 01	C02	0.333333333	0.166666667	GD
C1_01630W_A		GELC0033	Plate 01	C03	0.333333333	0	NE
C1_03090W_A		GELC0034	Plate 01	C04	0	3.666666667	E
C1_03900W_A		GELC0035	Plate 01	C05	0	0	NE
C1_04420C_A		GELC0036	Plate 01	C06	0.166666667	0.333333333	GD
C1_05360C_A		GELC0038	Plate 01	C07	0.166666667	0.333333333	GD
C1_07270W_A		GELC0040	Plate 01	C08	0.333333333	0	NE
C1_08330C_A		GELC0041	Plate 01	C09	0.333333333	0	NE
C1_08450C_A		GELC0042	Plate 01	C10	0.333333333	4	E
C1_08460C_A		GELC0043	Plate 01	C11	0	0	NE
C1_08540C_A		GELC0044	Plate 01	C12	0	0	NE
C1_09730W_A		GELC0046	Plate 01	D01	0	4	E
C1_10380C_A		GELC0047	Plate 01	D02	0	2.25	GD
C1_11450C_A		GELC0048	Plate 01	D03	0	4	E
C1_12600C_A		GELC0049	Plate 01	D04	0.166666667	0	NE
C1_14110C_A		GELC0053	Plate 01	D05	0.166666667	4	E
C1_14210C_A		GELC0054	Plate 01	D06	0.5	0	NE
C1_14490C_A		GELC0055	Plate 01	D07	0.625	0.5	GD
C2_00430C_A		GELC0056	Plate 01	D08	0	0	NE
C2_00570W_A		GELC0057	Plate 01	D09	0	2.25	GD
C2_01320W_A		GELC0058	Plate 01	D10	0	1.75	GD
C2_01730W_A		GELC0059	Plate 01	D11	0	2.625	GD
C2_03070C_A		GELC0060	Plate 01	D12	0	0	NE
C2_03100W_A		GELC0061	Plate 01	E01	0	4	E
C2_05540C_A		GELC0064	Plate 01	E02	0	1.5	GD
C2_06830C_A		GELC0065	Plate 01	E03	0.166666667	3.333333333	E
C2_07060W_A		GELC0066	Plate 01	E04	0	1.625	GD
C2_07170C_A		GELC0067	Plate 01	E05	0.5	0	NE
C2_07490W_A		GELC0068	Plate 01	E06	0	1.375	GD
C2_07960C_A		GELC0069	Plate 01	E07	0.166666667	3.333333333	E
C2_08470C_A		GELC0071	Plate 01	E08	0.166666667	0	NE
C2_10230W_A		GELC0072	Plate 01	E09	0.166666667	0	NE
C2_10860C_A		GELC0073	Plate 01	E10	0	1.875	GD
C3_00280C_A		GELC0075	Plate 01	E11	0	0	NE
C3_00510W_A		GELC0076	Plate 01	E12	0	0	NE
C3_00570C_A		GELC0077	Plate 01	F01	0	0.166666667	GD
C3_02690C_A		GELC0079	Plate 01	F02	0	0	NE
C3_04930C_A		GELC0081	Plate 01	F03	0	0.5	GD
C3_05650W_A		GELC0084	Plate 01	F04	0.25	0.875	GD
C3_06110C_A		GELC0086	Plate 01	F05	0	0.166666667	GD
C3_06890W_A		GELC0090	Plate 01	F06	0.166666667	0.166666667	GD
C3_07110W_A		GELC0091	Plate 01	F07	0	4	E
C3_07390C_A		GELC0092	Plate 01	F08	0	1.375	GD
C3_07440W_A		GELC0093	Plate 01	F09	0.625	2.375	GD
C4_00780C_A		GELC0094	Plate 01	F10	0	0	NE
C4_02770C_A		GELC0097	Plate 01	F11	0.166666667	0	NE
C4_03170W_A		GELC0098	Plate 01	F12	0	0	NE
C4_04000W_A		GELC0100	Plate 01	G01	0	0	NE
C4_04920W_A		GELC0101	Plate 01	G02	0	0	NE
C4_05100C_A		GELC0102	Plate 01	G03	0.166666667	0.166666667	GD
C4_05180C_A		GELC0103	Plate 01	G04	0	0	NE
C4_06030W_A		GELC0104	Plate 01	G05	0	4	E
C5_01390C_A		GELC0106	Plate 01	G06	0	0.375	GD
C1_00060W_A		GELC0109	Plate 01	G07	0	0.5	GD
C1_00160C_A		GELC0111	Plate 01	G08	0	0.875	GD
C6_02680W_A		GELC0112	Plate 01	G09	0	0	NE
C6_03110C_A		GELC0113	Plate 01	G10	0	0	NE
C6_03770C_A		GELC0114	Plate 01	G11	0	0	NE
C7_00530C_A		GELC0116	Plate 01	G12	0	0	NE
C7_01470C_A		GELC0118	Plate 01	H01	0	4	E
C7_01760C_A		GELC0119	Plate 01	H02	0	0	NE
CR_01230C_A		GELC0121	Plate 01	H03	0	0	NE
CR_02630C_A		GELC0122	Plate 01	H04	0	0	NE
CR_03910C_A		GELC0123	Plate 01	H05	0	0	NE
CR_03990C_A		GELC0124	Plate 01	H06	0	3.5	E
CR_08980C_A		GELC0126	Plate 01	H07	0	0	NE
C4_03900C_A		GELC0127	Plate 01	H08	0	0	NE
C4_04570W_A		GELC0128	Plate 01	H09	0	0	NE
C1_14100W_A		GELC0130	Plate 01	H10	0	0	NE
C2_06910W_A		GELC0131	Plate 01	H11	0	0	NE
C6_01120C_A		GELC0135	Plate 01	H12	0	0	NE
	CaLC3365 Wild type HIS+		Plate 02	A01			
	Empty		Plate 02	A02			
	Empty		Plate 02	A03			
	CaLC6106 Wild type HIS-		Plate 02	A04			
	tetO-BRC1 Nonessential control		Plate 02	A05			
	tetO-HSP90 Essential control		Plate 02	A06			
C6_03630W_A		GELC0136	Plate 02	A07	0	0	NE
CR_00320C_A		GELC0137	Plate 02	A08	0	0	NE
CR_04200W_A		GELC0138	Plate 02	A09	0	0	NE
CR_06520C_A		GELC0139	Plate 02	A10	0	0	NE
C1_00360W_A		GELC0141	Plate 02	A11	0	0	NE
C1_00540C_A		GELC0142	Plate 02	A12	0	0	NE
C1_01070C_A		GELC0143	Plate 02	B01	0	4	E
C2_00090W_A		GELC0144	Plate 02	B02	0	0	NE
C1_01490W_A		GELC0145	Plate 02	B03	0	0	NE
C1_01600W_A		GELC0146	Plate 02	B04	0	3.833333333	E
C1_01680C_A		GELC0147	Plate 02	B05	0	0	NE
C1_05390C_A		GELC0150	Plate 02	B06	0	0	NE
C1_05680C_A		GELC0151	Plate 02	B07	0	0	NE
C1_06230C_A		GELC0152	Plate 02	B08	0	3.666666667	E
C2_00590W_A		GELC0153	Plate 02	B09	0	0	NE
C1_08520C_A		GELC0155	Plate 02	B10	0	3.666666667	E
C1_08550C_A		GELC0156	Plate 02	B11	0	0	NE
C1_08630W_A		GELC0157	Plate 02	B12	0	0	NE
C1_09450C_A		GELC0158	Plate 02	C01	0	0.875	GD
C1_09670C_A		GELC0160	Plate 02	C02	0	4	E
